Iteration,Model,epoch,loss,Clean Acc (%)
iter3,PGD Adversarial Training,1,0.952725965966548,97.0
iter3,PGD Adversarial Training,2,0.4583326654711258,97.53
iter3,PGD Adversarial Training,3,0.3655257866517313,97.72
iter3,PGD Adversarial Training,4,0.3125396525300642,98.2
iter3,PGD Adversarial Training,5,0.27063406076131347,98.22
iter3,PGD Adversarial Training,6,0.2522586959797436,98.4
iter3,PGD Adversarial Training,7,0.2372807904855529,98.52
iter3,PGD Adversarial Training,8,0.221546948083174,98.48
iter3,PGD Adversarial Training,9,0.20538644305170217,98.51
iter3,PGD Adversarial Training,10,0.19910669873264045,98.41
iter3,PGD Adversarial Training,11,0.19309403993554716,98.54
iter3,PGD Adversarial Training,12,0.1875655637112762,98.61
iter3,PGD Adversarial Training,13,0.18002419010090676,98.71
iter3,PGD Adversarial Training,14,0.17695616584406224,98.67
iter3,PGD Adversarial Training,15,0.17467385290591703,98.58
iter3,PGD Adversarial Training,16,0.17272501659672906,98.73
iter3,PGD Adversarial Training,17,0.16907312983134662,98.66
iter3,PGD Adversarial Training,18,0.16756208793027824,98.71
iter3,PGD Adversarial Training,19,0.1666521110387245,98.65
iter3,PGD Adversarial Training,20,0.16518586411722688,98.7
